Team,Points_Scored,Weightlifting_Sessions_Average,Yoga_Sessions_Average,Laps_Run_Per_Practice_Average,Water_Intake,Players_Absent_For_Sessions
Trailblazers,130,20,13,24,2,5
Trailblazers,135,20,12,24,2,5
Trailblazers,110,20,12,24,2,1
Trailblazers,130,21,18,24,2,2
Trailblazers,150,21,16,24,3,5
Trailblazers,145,21,14,24,2,6
Trailblazers,150,21,16,25,2,8
Trailblazers,170,22,13,25,3,5
Trailblazers,225,22,15,26,3,5
Trailblazers,145,22,19,26,3,7
Trailblazers,188,23,19,26,3,1
Trailblazers,180,23,15,27,3,5
Trailblazers,197,24,19,27,3,3
Trailblazers,218,25,20,28,3,
Trailblazers,100,25,18,29,3,
Trailblazers,134,25,,29,3,
Trailblazers,129,25,,29,3,
Trailblazers,250,25,,,3,
Trailblazers,250,26,,,3,
Trailblazers,150,27,,,3,
Trailblazers,124,28,,,3,
Trailblazers,162,31,,,4,
Trailblazers,96,32,24,37,4,
Trailblazers,123,33,29,37,,
Trailblazers,167,34,26,39,4,
Trailblazers,149,34,30,38,4,
Trailblazers,127,35,30,39,4,
Trailblazers,150,35,28,39,4,
Trailblazers,96,37,30,41,4,1
Trailblazers,89,,31,41,4,1
Trailblazers,108,37,30,41,5,5
Trailblazers,141,37,30,42,5,5
Trailblazers,92,37,33,43,5,2
Trailblazers,100,37,32,42,5,4
Trailblazers,106,,30,43,,4
Trailblazers,162,39,32,45,5,5
Trailblazers,135,40,34,45,5,4
Trailblazers,95,40,37,46,5,2
Trailblazers,120,40,35,,5,6
Trailblazers,88,41,38,,5,4
Porcupines,200,30,26,,2,2
Porcupines,155,32,28,38,,6
Porcupines,141,33,26,39,2,5
Porcupines,142,35,27,40,,2
Porcupines,116,36,,41,,3
Porcupines,117,36,,41,,2
Porcupines,105,40,,46,,5
Porcupines,96,40,,46,,2
Porcupines,149,40,43,46,,4
Porcupines,166,42,45,48,,5
Porcupines,139,43,46,49,3,4
Porcupines,166,45,48,51,3,8
Porcupines,109,48,52,55,4,7
Porcupines,128,52,56,60,4,5
Porcupines,151,56,60,64,4,2
Porcupines,128,56,60,64,4,3
Porcupines,153,59,63,68,4,8
Bulls,7,9,10,11,1,2
Bulls,8,10,11,12,1,3
Bulls,7,10,11,12,1,4
Bulls,10,10,,12,1,5
Bulls,10,11,,12,1,7
Bulls,9,11,,13,1,
Bulls,10,11,12,13,1,
Bulls,10,11,12,13,1,
Bulls,10,11,,13,1,
Bulls,12,12,12,13,1,
Bulls,13,12,12,14,1,
Bulls,12,12,13,14,1,
Bulls,20,13,14,15,1,6
Bulls,0,14,15,16,1,5
